density,volume,nsites,formation_energy_per_atom,cbm,vbm,avg_atomic_volume,band_width,energy_density,stability_factor,density_squared,volume_squared,nsites_squared,doping_percent,doping_squared,doping_cubed,doping_log,doping_sqrt,doping_interaction,doping_volume_effect,doping_energy_effect,doping_band_interaction,structural_factor,electronic_factor,band_center,band_asymmetry,doping_structural_coupling,density_volume_ratio,energy_per_volume,compactness,volume_per_site,atoms_per_unit_volume,electronic_anisotropy,coordination_factor,dimensional_factor,confinement_parameter,is_mg,mg_lattice_strain,mg_electronegativity_diff,mg_size_mismatch,mg_bond_energy_diff,is_sn,sn_lattice_strain,sn_electronegativity_diff,sn_size_mismatch,sn_bond_energy_diff,is_pb,pb_lattice_strain,pb_electronegativity_diff,pb_size_mismatch,pb_bond_energy_diff,is_n,n_lattice_strain,n_electronegativity_diff,n_size_mismatch,n_bond_energy_diff,is_al,al_lattice_strain,al_electronegativity_diff,al_size_mismatch,al_bond_energy_diff,band_gap,structure_type,dopant_type,doping_percent
8.112077171199235,190.11767334204237,13,-1.695347640769231,4.2507,4.1474,14.624436410926336,0.10329999999999995,-13.75279089393056,1.695347640769231,65.8057960314918,36144.729716991525,169,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,8.3981,4.19905,0.4999951597758051,0.0,0.04266871684572284,-0.008917359501444752,0.06837870341812771,14.624436410926336,0.06837870341812771,0.012734099765070136,2.260836670253601,34.38694462137756,1.510704281248676,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.103299999999999,Bulk ZnO,Pure,0.0
6.7265248218143725,310.44463751819984,18,-1.478425167222223,3.8606,2.4384,17.246924306566658,1.4221999999999997,-9.944663584515348,1.478425167222223,45.246136178484875,96375.8729638065,324,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,6.2989999999999995,3.1494999999999997,0.49999964843225414,0.0,0.021667389314850155,-0.004762282830978359,0.05798135262988638,17.246924306566658,0.05798135262988638,0.21143161404649113,2.6583436204587603,45.19972845300681,24.528575748799085,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.422199999999999,Bulk ZnO,Pure,0.0
5.27292715094076,272.2374420239186,16,-1.5604703549999992,4.6185,3.4201,17.014840126494914,1.1984,-8.228246503117662,1.5604703549999992,27.803760739128236,74113.22483972645,256,50.0,2500.0,125000.0,3.9318256327243257,7.071067882576153,263.64635754703795,850.7420063247457,-78.02351774999995,59.919999999999995,0,8.0386,4.0193,0.49999958277738404,0.0,0.019368853570397138,-0.005732019605381456,0.05877222427984116,17.014840126494914,0.05877222427984116,0.22727414312678104,2.4687135315669724,42.87471047193378,20.390584407591504,0,0.0,0.0,0.0,0.0,1,44.5,1.0,44.5,7800.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.1984,Bulk ZnO,Sn,50.0
8.091088351667313,674.0193002311996,42,-1.543169016666667,5.2979,3.964,16.048078576933325,1.3339000000000003,-12.48591685540557,1.543169016666667,65.46571071448648,454302.017084156,1764,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,9.2619,4.63095,0.4999996251595882,0.0,0.01200423837847364,-0.0022895027132566305,0.062312755711287963,16.048078576933325,0.062312755711287963,0.16486039232597505,4.790253676688987,55.78354873265167,21.40653201377136,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.3339,Bulk ZnO,Pure,0.0
5.896385836083419,542.8840300207991,42,-1.601568954047619,5.1599,4.8494,12.925810238590454,0.3105000000000002,-9.443468496157317,1.601568954047619,34.76736592796516,294723.07005162386,1764,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,10.0093,5.00465,0.4999983896992295,0.0,0.010861225436779778,-0.002950112483482447,0.07736458926299764,12.925810238590454,0.07736458926299764,0.052659376206331286,5.148494680036715,44.93046079608651,4.013464079082336,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3105,Bulk ZnO,Pure,0.0
7.230443085820332,236.39432367724336,13,-1.44844592,2.8629000000000002,2.6032,18.184178744403336,0.25970000000000004,-10.47290578744867,1.44844592,52.27930721728705,55882.2762668213,169,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,5.466100000000001,2.7330500000000004,0.49999807470899144,0.0,0.03058636507572104,-0.006127244924787657,0.05499286022514361,18.184178744403336,0.05499286022514361,0.03591757751461987,2.1024757934006124,42.75709024943006,4.722431219921529,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25969999999999904,Bulk ZnO,Pure,0.0
4.9201005628004,1425.9320473423566,126,-1.62710895515873,3.8665000000000003,3.5028,11.316921010653623,0.36370000000000013,-8.005539686014039,1.62710895515873,24.20738954806881,2033282.2036379646,15876,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,7.369300000000001,3.6846500000000004,0.4999986252443622,0.0,0.0034504453223913813,-0.0011410844985154278,0.08836325702535267,11.316921010653623,0.08836325702535267,0.07392125330726776,11.194488861024535,56.73509673286714,4.115964171574712,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.363699999999999,Bulk ZnO,Pure,0.0
2.9715799219803762,130.21651333397548,7,-0.9903791350000001,0.1613,-0.6562,18.602359047710785,0.8175,-2.9429907527142927,0.9903791350000001,8.830287232716898,16956.340344857414,49,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,-0.4949,-0.24745,0.49999938837995306,0.0,0.022820300174671054,-0.007605633952584069,0.05375662287966969,18.602359047710785,0.05375662287966969,0.2751061796968887,1.381049841939856,35.58503269549404,15.207428521503566,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.8175,Bulk ZnO,Pure,0.0
5.192154511269011,715.6095069169567,42,-1.644203928571428,5.405,3.3589,17.03832159326087,2.0461,-8.53696084517837,1.644203928571428,26.958468468891137,512096.9663899298,1764,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,8.7639,4.38195,0.49999975563278665,0.0,0.007255569498563883,-0.0022976272851028944,0.05869122698068615,17.03832159326087,0.05869122698068615,0.3940753295301904,4.695594549973944,59.225659842318954,34.86210981197107,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0461,Bulk ZnO,Pure,0.0
8.883981609017832,557.4741743806625,42,-1.369070879285713,4.9964,4.4633,13.27319462811101,0.5331000000000001,-12.162800513016146,1.369070879285713,78.92512922936707,310777.45510140125,1764,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,9.459700000000002,4.729850000000001,0.4999990620914227,0.0,0.01593613124569883,-0.002455846283474406,0.07533981291000749,13.27319462811101,0.07533981291000749,0.06000687793622491,5.103181789659417,46.137978190077575,7.0759400562459795,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5331,Bulk ZnO,Pure,0.0
