material_id,structure_type,band_gap,density,volume,nsites,avg_atomic_volume,dopant_count,volume_per_site,structural_factor,doping_structural_coupling,density_volume_ratio,compactness,coordination_factor,dimensional_factor,confinement_parameter,Zn_fraction,O_fraction,Zn_O_ratio,avg_electronegativity,electronegativity_difference,avg_atomic_radius,avg_valence_electrons,ionic_radius_mismatch,is_mg,mg_lattice_strain,mg_electronegativity_diff,mg_size_mismatch,mg_bond_energy_diff,dataset_split
mp-aaadpghk,Bulk ZnO,3.0493,3.8247957339815777,259.0019402039861,22,11.772815463817551,2,11.772815463817551,0,0.0,0.014767440471562587,0.0849414486342192,3.451344743268745,32.987891962164724,0.08494144141917012,0.09090909090909091,0.6363636363636364,0.14285714285714288,2.908181818181818,1.79,0.8090909090909091,5.090909090909092,0.36590246040255414,0,0.0,0.0,0.0,0.0,Test
mp-aaadpuzv,Bulk ZnO,0.5333999999999999,4.689499634904267,508.0325752587357,40,12.700814381468392,2,12.700814381468392,0,0.0,0.00923070657923058,0.07873510862886778,5.0129819155516495,43.43617419103285,0.07873510242965094,0.1,0.6,0.16666666666666669,2.797,1.79,0.885,4.8,0.397131339452432,0,0.0,0.0,0.0,0.0,Training
mp-aaadqopy,Bulk ZnO,1.8826999999999998,7.147249128981263,625.1652986101476,52,12.022409588656684,2,12.022409588656684,0,0.0,0.011432574944372081,0.08317800126719309,6.081420809190298,44.87377792148775,0.08317799434861377,0.15384615384615385,0.6153846153846154,0.25,2.7292307692307696,1.94,0.9076923076923078,4.461538461538462,0.42987074077825177,0,0.0,0.0,0.0,0.0,Training
mp-aaadxobz,Bulk ZnO,1.8489,7.170136198729286,117.3227076837354,10,11.73227076837354,2,11.73227076837354,0,0.0,0.061114649843043906,0.0852349915666523,2.042706515639076,25.27641113623098,0.08523498430164914,0.2,0.6,0.33333333333333337,2.846,1.79,0.91,4.3999999999999995,0.4183047540802938,0,0.0,0.0,0.0,0.0,Test
mp-aaadyzpi,Bulk ZnO,1.5067000000000004,5.248132313954016,305.13737057985725,28,10.897763234994901,1,10.897763234994901,0,0.0,0.017199244733547087,0.09176194953371712,4.159038093411497,33.09202765749757,0.09176194111346252,0.14285714285714285,0.5714285714285714,0.25,2.724285714285714,1.79,0.9357142857142857,4.285714285714286,0.4146099424117789,0,0.0,0.0,0.0,0.0,Training
mp-aaaewbvb,Bulk ZnO,1.0808000000000004,4.711955149362158,178.49491830403082,15,11.89966122026872,2,11.89966122026872,0,0.0,0.02639825936857358,0.08403600585676319,2.6640925430557107,29.34708818186878,0.0840359987947135,0.13333333333333333,0.5333333333333333,0.25,2.63,2.13,0.9733333333333334,4.133333333333334,0.4113297413590529,1,15.333333333333332,10.333333333333332,15.333333333333332,4466.666666666666,Training
mp-aaaewbvf,Bulk ZnO,0.5257999999999998,4.729375214052504,159.20879380455136,14,11.372056700325098,2,11.372056700325098,0,0.0,0.029705489885554947,0.0879348411946814,2.583086908351754,27.40827448405063,0.08793483346214578,0.07142857142857142,0.5714285714285714,0.125,2.714285714285714,2.13,0.9321428571428572,4.285714285714286,0.41331389876657276,1,23.0,15.5,23.0,6700.0,Training
mp-aaaewbvw,Bulk ZnO,0.6014000000000002,4.528857930456274,166.25783692944896,14,11.875559780674925,2,11.875559780674925,0,0.0,0.027239966633140322,0.0842065568670959,2.546052338311949,28.621788538144166,0.08420654977635228,0.07142857142857142,0.5714285714285714,0.125,2.714285714285714,2.13,0.9321428571428572,4.285714285714286,0.41331389876657276,1,23.0,15.5,23.0,6700.0,Training
mp-aaaewbwa,Bulk ZnO,0.1985999999999999,4.988455962487484,150.9401163286966,14,10.781436880621186,2,10.781436880621186,0,0.0,0.03304923888904598,0.09275201543844531,2.629419073257608,25.98479669452268,0.09275200683550976,0.07142857142857142,0.5714285714285714,0.125,2.714285714285714,2.13,0.9321428571428572,4.285714285714286,0.41331389876657276,1,23.0,15.5,23.0,6700.0,Training
mp-aaaewbwg,Bulk ZnO,1.8203999999999998,5.966453450743971,151.0757512699076,11,13.734159206355237,3,13.734159206355237,0,0.0,0.039493124479549835,0.07281115538090369,2.065353671234031,30.544496635643323,0.07281115007943972,0.18181818181818182,0.5454545454545454,0.33333333333333337,2.6854545454545455,2.13,0.9772727272727273,4.181818181818182,0.42881602126899787,1,15.333333333333332,10.333333333333332,15.333333333333332,4466.666666666666,Test
