material_id,structure_type,band_gap,density,volume,nsites,avg_atomic_volume,dopant_count,volume_per_site,density_volume_ratio,compactness,coordination_factor,phase_indicator,confinement_parameter,Zn_fraction,O_fraction,Zn_O_ratio,avg_electronegativity,electronegativity_difference,avg_atomic_radius,avg_valence_electrons,ionic_radius_mismatch,dataset_split
mp-aaacslgb,Normal ZnO,0.1451,3.30932880647124,225.8827915773815,17,13.287223033963619,1,13.287223033963619,0.01465064588900702,0.07526027052032534,0.24906098011311936,0,0.07526026485621745,0.17647058823529413,0.7058823529411765,0.25,2.9770588235294118,1.79,0.7794117647058825,6.9411764705882355,0.37603541640263033,Training
mp-aaacsvtf,Normal ZnO,1.2763,4.835097088177964,1118.3380707600907,80,13.979225884501133,0,13.979225884501133,0.004323466409909725,0.07153471932295673,0.345877312792778,0,0.07153471420574102,0.5,0.5,1.0,2.545,1.79,0.9750000000000001,9.0,0.3846153846149902,Training
mp-aaacsvwv,Normal ZnO,1.2176,5.110085346211842,1058.1571115126565,80,13.226963893908206,0,13.226963893908206,0.0048292312037459565,0.07560313976970624,0.38633849629967654,0,0.07560313405387194,0.5,0.5,1.0,2.545,1.79,0.9750000000000001,9.0,0.3846153846149902,Test
mp-aaacswar,Normal ZnO,1.2421,4.983603308142384,1085.0127538634717,80,13.562659423293397,0,13.562659423293397,0.004593128777338176,0.07373185219725674,0.36745030218705405,0,0.0737318467608711,0.5,0.5,1.0,2.545,1.79,0.9750000000000001,9.0,0.3846153846149902,Training
mp-aaacswcl,Normal ZnO,0.93,4.98200188560062,1085.3615220739296,80,13.56701902592412,0,13.56701902592412,0.0045901773553670274,0.07370815933029805,0.36721418842936226,0,0.07370815389740569,0.5,0.5,1.0,2.545,1.79,0.9750000000000001,9.0,0.3846153846149902,Training
mp-aaacukja,Normal ZnO,0.9348999999999998,6.451109222374361,160.9709718576276,16,10.060685741101725,1,10.060685741101725,0.04007622683674845,0.0993968031338679,0.6412196293879752,0,0.09939679325414441,0.25,0.5,0.5,2.6025,1.79,0.9750000000000001,8.25,0.3846153846149902,Training
mp-aaacuocu,Normal ZnO,1.2377123346022554,4.690413371446219,145.7313948598971,13,11.210107296915162,1,11.210107296915162,0.03218533208832692,0.0892052121816161,0.41840931714824997,0,0.08920520422404694,0.15384615384615385,0.6153846153846154,0.25,2.746923076923077,1.81,0.8884615384615385,6.6923076923076925,0.41068541041101564,Training
mp-aaacvlxu,Normal ZnO,0.9246999999999996,6.537794062267408,158.83665211766515,16,9.927290757354072,1,9.927290757354072,0.04116048741863286,0.10073241778067259,0.6585677986981258,0,0.10073240763365363,0.25,0.5,0.5,2.6025,1.79,0.9750000000000001,8.25,0.3846153846149902,Training
mp-aaacwhsk,Normal ZnO,1.05361834380143,3.310372629539267,215.27845092427347,15,14.351896728284897,1,14.351896728284897,0.015377166641386508,0.0696772014830059,0.23065749962079762,0,0.06967719662809384,0.06666666666666667,0.6666666666666666,0.1,2.8379999999999996,1.81,0.8500000000000001,6.133333333333333,0.4159451654033621,Training
mp-aaacxjsr,Normal ZnO,0.9286000000000003,5.931104297848482,719.6082548256702,56,12.850147407601254,1,12.850147407601254,0.008242129311097468,0.07782011896676527,0.4615592414214582,0,0.07782011291079484,0.14285714285714285,0.5714285714285714,0.25,2.8185714285714285,1.79,0.95,6.857142857142857,0.42665446493522335,Training
mp-aaacxjyi,Normal ZnO,2.2434129905346656,5.298837538570429,253.1823418526146,24,10.549264243858941,1,10.549264243858941,0.020928937930142503,0.09479334073768524,0.5022945103234201,0,0.09479333175190864,0.25,0.5833333333333334,0.42857142857142855,2.6758333333333333,1.9,0.9208333333333334,7.166666666666666,0.41260914853254727,Training
mp-aaacxnmk,Normal ZnO,1.1732000000000005,5.535488201484521,894.9659601455592,56,15.981535002599271,1,15.981535002599271,0.006185138253078451,0.06257221223351561,0.34636774217239324,0,0.06257220831823411,0.14285714285714285,0.5714285714285714,0.25,2.787142857142857,1.79,0.95,6.571428571428571,0.42665446493522335,Training
mp-aaacxvjq,Normal ZnO,1.2544,4.831208638122596,476.9805394090287,42,11.356679509738779,1,11.356679509738779,0.010128733205718735,0.08805390687854336,0.4254067946401868,0,0.08805389912505354,0.14285714285714285,0.5714285714285714,0.25,2.667142857142857,1.81,0.9214285714285715,6.571428571428571,0.4028025133876739,Validation
mp-aaacyaab,Normal ZnO,1.3607000000000005,5.3104567339238296,289.2899321306385,28,10.331783290379946,1,10.331783290379946,0.018356866678543273,0.09678871225755506,0.5139922669992117,0,0.09678870288950116,0.14285714285714285,0.5714285714285714,0.25,2.667142857142857,1.81,0.9214285714285715,6.571428571428571,0.4028025133876739,Validation
mp-aaacycbp,Normal ZnO,1.1063178585305646,6.673395586292256,231.03061953050977,20,11.551530976525488,1,11.551530976525488,0.028885329446669477,0.08656861173052784,0.5777065889333896,0,0.08656860423640396,0.2,0.6,0.33333333333333337,2.786,1.79,0.92,6.8,0.42738267937643765,Training
mp-aaacygqh,Normal ZnO,1.2082000000000002,5.458980370649939,293.35172248374465,28,10.476847231562308,1,10.476847231562308,0.01860899368792164,0.095448561756959,0.5210518232618059,0,0.09544855264653195,0.14285714285714285,0.5714285714285714,0.25,2.724285714285714,1.79,0.9357142857142857,7.428571428571429,0.4146099424117789,Validation
mp-aaacyguo,Normal ZnO,0.5246999999999997,5.942899037979302,276.36778478624694,28,9.870278028080248,1,9.870278028080248,0.02150358813011499,0.10131426867156834,0.6021004676432198,0,0.10131425840698835,0.14285714285714285,0.5714285714285714,0.25,2.7385714285714284,1.79,0.9214285714285715,7.7142857142857135,0.4028025133876739,Training
mp-aaacygyl,Normal ZnO,0.7584431568835288,4.701194077750485,316.84906970981973,23,13.776046509122597,1,13.776046509122597,0.014837329543743512,0.07258976654425439,0.3412585795061008,0,0.07258976127498057,0.043478260869565216,0.6956521739130435,0.0625,3.0282608695652176,1.79,0.8543478260869565,6.260869565217391,0.4506619216957668,Validation
mp-aaacyhrv,Normal ZnO,1.8923,8.663471540990464,227.89505864557682,20,11.394752932278841,1,11.394752932278841,0.03801517924286698,0.08775969131960895,0.7603035848573396,0,0.08775968361784621,0.2,0.6,0.33333333333333337,2.866,1.79,0.9,7.2,0.4082482904634095,Test
mp-aaacyjba,2D ZnO,2.4233000000000002,2.941999183981025,317.65522908445166,20,15.882761454222583,1,15.882761454222583,0.009261611034072591,0.06296134352217073,0.18523222068145181,1,0.0629613395580402,0.1,0.7,0.14285714285714288,2.905,1.79,0.835,6.6,0.4301802408536599,Training
mp-aaacyobb,Normal ZnO,0.11509999999999998,6.257424964037423,292.8330681265312,24,12.201377838605467,1,12.201377838605467,0.021368573510847682,0.08195795698056123,0.5128457642603443,0,0.08195795026345508,0.25,0.5833333333333334,0.42857142857142855,2.7608333333333333,1.79,0.9291666666666667,7.333333333333333,0.4205455664584005,Training
mp-aaacysnl,Normal ZnO,0.6007,4.970925656476034,219.59221563126295,18,12.199567535070164,1,12.199567535070164,0.022637075815957367,0.08197011878702212,0.40746736468723266,0,0.0819701120679223,0.2222222222222222,0.5555555555555556,0.39999999999999997,2.6955555555555555,1.79,0.9333333333333333,8.0,0.3992978531245347,Training
mp-aaacysqw,Normal ZnO,0.3548,6.348342097974473,246.05121608245983,20,12.302560804122992,1,12.302560804122992,0.025800896956534602,0.08128389007147742,0.516017939130692,0,0.08128388346440717,0.2,0.6,0.33333333333333337,2.8040000000000003,1.79,0.92,7.0,0.42738267937643765,Training
mp-aaacystw,Normal ZnO,0.3900000000000001,5.576024070328941,245.5151210473443,24,10.229796710306013,1,10.229796710306013,0.022711530042755085,0.09775365320725773,0.545076721026122,0,0.09775364365148195,0.25,0.5833333333333334,0.42857142857142855,2.6958333333333333,1.79,0.9208333333333334,7.5,0.41260914853254727,Training
mp-aaacyuyd,2D ZnO,2.0461,5.19215451852316,715.6095069169567,42,17.03832159326087,1,17.03832159326087,0.007255569498561898,0.05869122698068615,0.3047339189395997,1,0.05869122353602623,0.14285714285714285,0.5714285714285714,0.25,2.787142857142857,1.79,0.95,6.571428571428571,0.42665446493522335,Training
mp-aaaczdsm,Normal ZnO,0.5331000000000001,8.883981621429967,557.4741743806625,42,13.27319462811101,1,13.27319462811101,0.015936131239377465,0.07533981291000749,0.6693175120538536,0,0.07533980723392052,0.14285714285714285,0.5714285714285714,0.25,2.8757142857142854,1.79,0.9214285714285715,6.857142857142857,0.4028025133876739,Test
mp-aaaczgvk,Normal ZnO,1.0096999999999996,6.00283060756532,608.8426683752238,42,14.4962540089339,1,14.4962540089339,0.009859411814426946,0.06898333868761611,0.4140952962059318,0,0.06898333392891542,0.14285714285714285,0.5714285714285714,0.25,2.761428571428571,1.79,0.95,6.285714285714285,0.42665446493522335,Validation
mp-aaacznix,Normal ZnO,0.8893999999999997,5.027158118579047,462.56889108782593,42,11.013545025900617,1,11.013545025900617,0.010867912227925094,0.09079728621876919,0.456452313572854,0,0.09079727797462275,0.14285714285714285,0.5714285714285714,0.25,2.6757142857142853,1.79,0.9357142857142857,6.857142857142857,0.4146099424117789,Validation
mp-aaaczufm,Normal ZnO,0.5105596596199463,3.6263407880515417,308.8935172585829,16,19.30584482866143,1,19.30584482866143,0.011739776245534024,0.051797785016659895,0.18783641992854438,0,0.0517977823336495,0.125,0.625,0.2,2.89625,1.79,0.90625,6.75,0.43742843817605476,Validation
mp-aaaczxnf,Normal ZnO,1.5469,5.566573089679802,257.87646698064395,16,16.117279186290247,1,16.117279186290247,0.021586200296870927,0.06204521175327313,0.34537920474993483,0,0.062045207903665064,0.25,0.5,0.5,2.6225,1.79,1.0,7.0,0.4015594601048237,Test
mp-aaaczyqf,Normal ZnO,1.6465999999999998,5.44835046531593,312.75497203775507,16,19.54718575235969,1,19.54718575235969,0.017420507857626354,0.05115825943789797,0.27872812572202166,0,0.051158256820730594,0.125,0.625,0.2,2.94625,1.79,0.8812500000000001,6.75,0.41201950491521516,Training
mp-aaaczyxh,Normal ZnO,0.4618048815628155,5.046067719852085,201.72718714828704,16,12.60794919676794,1,12.60794919676794,0.025014316444756005,0.07931504040770967,0.4002290631160961,0,0.07931503411683455,0.25,0.5,0.5,2.59,1.79,0.9875,8.0,0.39281318099157436,Training
mp-aaaczzct,Normal ZnO,0.8860000000000001,6.406099975513827,244.7329789354302,26,9.41280688213193,1,9.41280688213193,0.026175875344647045,0.10623823610981249,0.6805727589608233,0,0.10623822482325089,0.07692307692307693,0.5384615384615384,0.14285714285714288,2.7023076923076923,1.79,0.9461538461538461,7.615384615384616,0.3951671157561592,Training
mp-aaadadhl,Normal ZnO,1.3699474171326247,8.09576757629109,277.27154852600364,24,11.552981188583486,1,11.552981188583486,0.029197974296788918,0.08655774502499734,0.7007513831229341,0,0.08655773753275477,0.25,0.5833333333333334,0.42857142857142855,2.8125,1.79,0.9125000000000001,7.5,0.4052109440474749,Training
mp-aaadafjb,Normal ZnO,1.6887000000000003,6.058817698461807,274.1261675812145,24,11.42192364921727,1,11.42192364921727,0.022102295923881417,0.087550926683749,0.530455102173154,0,0.08755091901858492,0.25,0.5833333333333334,0.42857142857142855,2.779166666666667,1.79,0.9291666666666667,7.5,0.4205455664584005,Training
mp-aaadaicf,Normal ZnO,0.6607000000000003,5.071899196032536,206.13566420493137,18,11.45198134471841,1,11.45198134471841,0.02460466601444378,0.087321134212395,0.442883988259988,0,0.08732112658741518,0.2222222222222222,0.5555555555555556,0.39999999999999997,2.6466666666666665,1.79,0.9444444444444444,7.333333333333334,0.40813526491019503,Training
mp-aaadaios,Normal ZnO,1.4967999999999995,5.248107766397548,305.13879783272023,28,10.897814208311436,1,10.897814208311436,0.017199083782441598,0.09176152032738179,0.48157434590836484,0,0.09176151190720597,0.14285714285714285,0.5714285714285714,0.25,2.724285714285714,1.79,0.9357142857142857,7.428571428571429,0.4146099424117789,Training
mp-aaadaipf,Normal ZnO,0.26570000000000027,7.312681964655168,255.85485217434942,16,15.990928260896839,1,15.990928260896839,0.02858136898295231,0.0625354565841768,0.45730190372723695,0,0.06253545267349371,0.125,0.625,0.2,2.86125,1.79,0.9437500000000001,6.5,0.4764071049643349,Validation
mp-aaadajev,Normal ZnO,1.7898,4.222688332319404,253.64512380571156,18,14.091395766983975,1,14.091395766983975,0.016648016931348163,0.07096529091482845,0.2996643047642669,0,0.07096528587875629,0.2222222222222222,0.5555555555555556,0.39999999999999997,2.6844444444444444,1.79,0.9444444444444444,7.777777777777779,0.40813526491019503,Test
mp-aaadakaz,Normal ZnO,0.9878999999999998,6.498697589423713,278.8439297589315,24,11.618497073288813,1,11.618497073288813,0.023305859918615272,0.08606965201196484,0.5593406380467665,0,0.08606964460398048,0.25,0.5833333333333334,0.42857142857142855,2.7458333333333336,1.79,0.9291666666666667,7.166666666666666,0.4205455664584005,Validation
mp-aaadakpi,Normal ZnO,0.8621000000000003,5.380214110701941,202.89708302378835,20,10.144854151189417,1,10.144854151189417,0.0265169612298181,0.09857214160962152,0.5303392245963621,0,0.09857213189315539,0.2,0.6,0.33333333333333337,2.72,1.81,0.9,7.0,0.4082482904634095,Training
mp-aaadakqb,Normal ZnO,0.8814050363816994,8.051848175627185,265.9450071380185,20,13.297250356900927,1,13.297250356900927,0.030276365147822164,0.07520351750623587,0.6055273029564433,0,0.07520351185066726,0.2,0.6,0.33333333333333337,2.798,1.79,0.9500000000000001,7.0,0.4588314677406406,Training
mp-aaadakqo,Normal ZnO,1.7797638613149465,8.222615016334709,327.2900250759326,26,12.588077887535869,1,12.588077887535869,0.02512332903914105,0.0794402456780279,0.6532065550176673,0,0.07944023936727578,0.15384615384615385,0.6153846153846154,0.25,2.9153846153846157,1.79,0.8884615384615385,6.923076923076923,0.41068541041101564,Training
mp-aaadakrj,Normal ZnO,0.33679999999999977,5.737685679096635,242.0033373547901,24,10.083472389782921,1,10.083472389782921,0.023709117891113036,0.09917218606293306,0.5690188293867128,0,0.09917217622781155,0.25,0.5833333333333334,0.42857142857142855,2.6775,1.89,0.9208333333333334,7.666666666666666,0.41260914853254727,Training
mp-aaadalcs,Normal ZnO,1.3043000000000005,5.838493818654105,274.28329025862814,28,9.795831794951004,1,9.795831794951004,0.02128636342324204,0.10208423551284565,0.5960181758507771,0,0.1020842250916556,0.14285714285714285,0.5714285714285714,0.25,2.724285714285714,1.79,0.9357142857142857,7.428571428571429,0.4146099424117789,Training
mp-aaadalda,Normal ZnO,2.3855999999999997,4.979259954066201,311.3457257619552,28,11.119490205784114,1,11.119490205784114,0.01599270369261622,0.08993218047710695,0.44779570339325414,0,0.08993217238931059,0.14285714285714285,0.5714285714285714,0.25,2.6757142857142853,1.79,0.9357142857142857,6.857142857142857,0.4146099424117789,Training
mp-aaadalio,Normal ZnO,0.4998,4.844515495286197,328.0726468088628,28,11.716880243173673,1,11.716880243173673,0.014766593703077138,0.08534695065972073,0.4134646236861599,0,0.08534694337561936,0.14285714285714285,0.5714285714285714,0.25,2.644285714285714,1.89,0.9357142857142857,7.142857142857142,0.4146099424117789,Training
mp-aaadamzm,Normal ZnO,0.5379888553597305,5.182741633942818,190.12316329535295,16,11.88269770595956,1,11.88269770595956,0.027259916765805147,0.08415597406794818,0.43615866825288235,0,0.08415596698572081,0.25,0.5,0.5,2.54,1.81,0.9750000000000001,7.25,0.3846153846149902,Training
mp-aaadanty,Normal ZnO,0.5793000000000008,6.266600004468391,565.5094497154366,44,12.852487493532651,1,12.852487493532651,0.011081335593137122,0.07780595005466438,0.48757876609803336,0,0.07780594400089899,0.09090909090909091,0.6363636363636364,0.14285714285714288,2.8736363636363635,1.79,0.8999999999999999,6.0,0.441911976852587,Training
mp-aaadavvj,Normal ZnO,1.0345406200685492,5.474654284154565,165.80148039593232,13,12.753960030456332,1,12.753960030456332,0.03301933274698037,0.07840702006372999,0.42925132571074487,0,0.07840701391606969,0.15384615384615385,0.6153846153846154,0.25,2.8692307692307697,1.79,0.9115384615384616,6.923076923076923,0.4335943486464485,Training
mp-aaadavzn,Normal ZnO,2.3263286879049425,4.582600119549424,145.81776361798038,13,11.216751047536953,1,11.216751047536953,0.031426898715359655,0.08915237538588204,0.4085496832996755,0,0.08915236743773672,0.15384615384615385,0.6153846153846154,0.25,2.7261538461538466,1.9,0.9,6.461538461538462,0.42197473628439225,Training
mp-aaadazwz,Normal ZnO,1.8305430524236723,4.140320389618906,198.35810138932473,16,12.397381336832796,1,12.397381336832796,0.02087295824948228,0.08066219573556117,0.33396733199171647,0,0.08066218922917189,0.125,0.625,0.2,2.76375,1.81,0.8812500000000001,6.5,0.41201950491521516,Training
mp-aaadbaot,Normal ZnO,0.4676203307106026,5.571553906073242,182.70110357829324,16,11.418818973643328,1,11.418818973643328,0.030495458245495467,0.08757473100398373,0.4879273319279275,0,0.0875747233346509,0.25,0.5,0.5,2.59,1.79,0.9875,8.0,0.39281318099157436,Training
mp-aaadbecr,Normal ZnO,0.7161859924977954,5.559765439709278,129.8899188008217,13,9.991532215447823,1,9.991532215447823,0.04280367135675225,0.10008474960966532,0.5564477276377793,0,0.10008473959270923,0.15384615384615385,0.6153846153846154,0.25,2.8115384615384618,1.79,0.8884615384615385,7.846153846153847,0.41068541041101564,Validation
mp-aaadbibe,Normal ZnO,0.4107000000000003,4.187075027392159,235.33355087774655,16,14.70834692985916,1,14.70834692985916,0.01779208699304935,0.06798860570591501,0.2846733918887896,0,0.06798860108346483,0.25,0.5,0.5,2.54,1.81,0.9750000000000001,7.25,0.3846153846149902,Training
mp-aaadbkur,Normal ZnO,0.9781859853179751,5.277505572061539,196.4656504978652,16,12.279103156116575,1,12.279103156116575,0.026862230277025726,0.08143917249378846,0.4297956844324116,0,0.08143916586145018,0.25,0.5,0.5,2.61,1.79,0.9750000000000001,8.5,0.3846153846149902,Training
mp-aaadblcs,Normal ZnO,1.215087120219964,4.7165672903648685,169.76343134195247,14,12.125959381568034,1,12.125959381568034,0.027783175830613172,0.0824677016088345,0.3889644616285844,0,0.08246769480791326,0.14285714285714285,0.5714285714285714,0.25,2.724285714285714,1.79,0.9357142857142857,7.428571428571429,0.4146099424117789,Training
mp-aaadbmre,Normal ZnO,0.12458152890565755,4.642170268785837,182.63263064300503,16,11.414539415187814,1,11.414539415187814,0.02541807686295603,0.0876075646704967,0.4066892298072965,0,0.08760755699541199,0.125,0.625,0.2,2.74375,1.89,0.89375,7.0,0.42462008344736446,Test
mp-aaadbnoa,Normal ZnO,1.3370916752163997,6.053225351112,168.69307675437827,13,12.976390519567559,1,12.976390519567559,0.035883069013215,0.07706303216538254,0.46647989717179505,0,0.07706302622667209,0.15384615384615385,0.6153846153846154,0.25,2.8230769230769233,1.79,0.9115384615384616,6.461538461538462,0.4335943486464485,Training
mp-aaadbopf,Normal ZnO,0.13169137196362257,8.372177171677782,160.72162710494905,13,12.36320208499608,1,12.36320208499608,0.05209116700965015,0.08088519407230227,0.677185171125452,0,0.08088518752988819,0.15384615384615385,0.6153846153846154,0.25,2.9153846153846157,1.79,0.8884615384615385,6.923076923076923,0.41068541041101564,Test
